Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1365779760,"60,36","60,5","60,36","60,5","14,36124144","866,90657312","60,364319947"
1365779820,"61,99","61,99","61,99","61,99",1,"61,99","61,99"
1365779880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365779940,"61,99","62,95","60,51","62,95","9,44695876","585,13999974","61,939510334"
1365780000,"62,95","63,99","62,95","63,99","2,09654114","133,11783276","63,494023667"
1365780060,"63,99","63,99",60,"60,55","102,74261603","6212,0206242","60,461966653"
1365780120,62,62,62,62,"2,10080645","130,2499999",62
1365780180,62,62,62,62,2015,"124,93",62
1365780240,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365780300,"61,5","61,5","61,5","61,5","1,00308943","61,689999945","61,5"
1365780360,"60,02","64,98","60,02","64,98","58,52500021","3628,4404276","61,998127546"
1365780420,65,"65,23",60,60,"272,47499979","17570,384596","64,484391632"
1365780480,64,64,"60,02","63,99","2,35986263","149,14284148","63,199797981"
1365780540,"63,98","65,7","63,98","65,7",120,"7834,4691726","65,287243105"
1365780600,62,62,62,62,"8,35","517,7",62
1365780660,65,65,"62,02","62,02","36,08476923","2336,5699999","64,752250044"
1365780720,65,65,65,65,"7,99507692","519,6799998",65
1365780780,63,"64,99",63,"64,99","2,60620095","168,77999974","64,760930941"
1365780840,63,63,63,63,20,1260,63
1365780900,63,63,63,63,"0,11617647","7,31911761",63
1365780960,"64,97","64,98","64,97","64,98","54,8",3560804,"64,978175182"
1365781020,65,65,"64,98","64,98","178,46461538",11596694,"64,980354649"
1365781080,64,64,"63,1","63,1","0,89508272","57,180735257","63,883185296"
1365781140,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365781200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365781260,65,65,"64,2","64,2","0,64949072","41,709858072","64,219328757"
1365781320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365781380,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365781440,65,65,65,65,"1,07307692","69,7499998",65
1365781500,65,"65,99",65,"65,99","24,92135571","1627,5226045","65,306343019"
1365781560,66,"67,49",66,"67,49",9,"605,92","67,324444444"
1365781620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365781680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365781740,"63,4","63,7","63,4","63,7","4,40180534","280,38000016","63,696592307"
1365781800,"63,7","63,7","63,7","63,7","5,21474683","332,17937307","63,7"
1365781860,"63,7","63,7","63,7","63,7","1,98194663","126,25000033","63,7"
1365781920,"63,41","63,7","63,41","63,7","0,12941915","8,238199855","63,655184376"
1365781980,"63,7","65,99","63,7","65,99","3,99954325","257,01544511","64,261199104"
1365782040,"63,71","63,71","63,71","63,71","0,02","1,2742","63,71"
1365782100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365782160,"65,93","65,93","65,93","65,93","0,0151676","0,999999868","65,93"
1365782220,"65,93","65,93","65,93","65,93","0,15091764","9,9500000052","65,93"
1365782280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365782340,"65,93","65,93","64,5","64,5","11,0151676","710,49999987","64,501969073"
1365782400,"64,5","64,5","64,5","64,5","0,63379841","40,879997445","64,5"
1365782460,"64,5","64,5","64,5","64,5",11,"709,5","64,5"
1365782520,"64,5","64,5",64,64,"11,32620159","729,06000255","64,369329538"
1365782580,"63,86",64,"63,86",64,"7,03213953","449,80743039","63,96452011"
1365782640,"63,86","63,99","61,02","63,99","10,10640001","631,72705815","62,507624627"
1365782700,"63,99","63,99","62,5","62,5","2,8982109","185,36646376","63,958928509"
1365782760,"62,5","62,5","62,5","62,5",1,"62,5","62,5"
